epoch,accuracy,loss,val_accuracy,val_loss
0,0.7419999837875366,0.7532013654708862,0.8849999904632568,0.2997199296951294
1,0.8420000076293945,0.3869156837463379,0.875,0.31010106205940247
2,0.8740000128746033,0.3166366517543793,0.9075000286102295,0.2510366141796112
3,0.8899999856948853,0.2893182039260864,0.8787500262260437,0.31787610054016113
4,0.9300000071525574,0.20493584871292114,0.8662499785423279,0.3860050141811371
5,0.9330000281333923,0.18551358580589294,0.8650000095367432,0.3960150480270386
6,0.9409999847412109,0.15486286580562592,0.9112499952316284,0.3178606927394867
7,0.9390000104904175,0.16404949128627777,0.8675000071525574,0.47304996848106384
8,0.9580000042915344,0.10411020368337631,0.8062499761581421,1.0253193378448486
9,0.953000009059906,0.12555941939353943,0.9012500047683716,0.39017432928085327
